pixel_mean,pixel_std,edge_density,label
0.6219693066003493,0.12033993391962305,0.19352096477131375,1
0.7601761639307961,0.9307116272561794,0.9695207247890499,1
0.5733749493641697,0.4189623893853657,0.9066769351745595,0
0.6558071042425955,0.8480519828037766,0.7766257332281011,0
0.9049288806741699,0.9884525924524022,0.988235843686922,1
0.18668341775857322,0.5163379101278844,0.11879369908334747,0
0.9064597553339682,0.3912548776254733,0.9584271768565976,1
0.6369081140894447,0.9644016456938549,0.9180688197876862,0
0.11330494494621723,0.5661919327018449,0.63660612345095,1
0.08533473147384774,0.034480706479506185,0.05943472177663078,0
0.27231392791757036,0.7985437105491641,0.04388846253173029,0
0.9236496335804061,0.6874556822357334,0.9808266157651465,1
0.4465982177330957,0.497233596756102,0.8666918185609851,0
0.4968682330801917,0.43965942211275344,0.2673350514986119,1
0.9594401537141737,0.5028907728243789,0.11729178371822613,1
0.2829934566813699,0.12796171590931693,0.7337107331329851,0
0.5764742681697562,0.9378357088060394,0.0009124660552494168,0
0.5855266466791448,0.5959792836146482,0.07501570312415184,1
0.4563904805252269,0.38917875346891595,0.34247553281037446,0
0.3903413566192433,0.010925570211646751,0.4212602088114342,0
0.2289015087994415,0.219820703067785,0.6801792397928257,1
0.7006263397931234,0.6027949658110571,0.9581236784329427,0
0.1988867591363489,0.562332956426405,0.1548940710608484,0
0.08206946664337977,0.9515516190504956,0.9363506144284353,1
0.3045298886455202,0.10568079765620764,0.6674364788725415,0
0.2748555847980605,0.5336843138539813,0.30431165324684506,1
0.8459148063395521,0.9786213395876664,0.8833400929592814,0
0.8247694444887362,0.9838737505821525,0.3030968738691996,1
0.9934088589576566,0.2846925329296125,0.819383242882031,1
0.6392400882300592,0.08428178313432566,0.041411834853621765,0
0.5722274629886124,0.40011449949002276,0.6450700955781239,1
0.26916719873010486,0.20387198058806133,0.8570585027688352,0
0.05387944209375617,0.3204881689794423,0.1734161093412233,0
0.7895780611603107,0.36995568168909954,0.7559873778897593,0
0.0765670223106838,0.5586914387795828,0.6817907875865654,0
0.7768990561303776,0.813491356311401,0.40592073876846946,1
0.7558268070602047,0.25474934980537833,0.2918454543310832,0
0.09876918111882416,0.659586496328229,0.2379087286367304,1
0.13783505270345286,0.7512457677500046,0.6859686317373649,1
0.9387111522562628,0.05771378279109052,0.6538183471285755,1
0.4985118848359298,0.15541592908222002,0.8202685821170882,0
0.147313616994179,0.6694256531407631,0.026686338480950145,1
0.06261344574844119,0.5214573919119939,0.7300327961599241,0
0.8179057335243496,0.707198293333288,0.6189818797932651,1
0.04691639163956096,0.6379685786138682,0.005151629868465735,1
0.954019080859569,0.09244790718732077,0.5416646992166491,1
0.5491211256221078,0.9815806729637853,0.9910384410570144,0
0.8793025173011821,0.7151318274818791,0.05283292991692379,1
0.16262257796577584,0.1537447176443879,0.20742169282982337,0
0.053182533065035065,0.41619752806868815,0.8354001336495123,1
0.49675228374334435,0.9475375032930827,0.95873669756109,1
0.2816696951163048,0.16073583656751134,0.823916868321906,0
0.6058506362246341,0.6855244199900141,0.16259006159031653,1
0.8804290615336982,0.12125061574746643,0.9252408812160747,1
0.9529680717773059,0.7311333516553921,0.9379569631303826,0
0.016911281150322033,0.8563842749083402,0.461125386049015,0
0.6410348433497793,0.7352686537154236,0.4654320234867825,0
0.48265886291912163,0.0915183514377842,0.15141360798113057,0
0.524252537685241,0.5228902054717868,0.40646717575056446,1
0.35679276887669764,0.6972338058804374,0.5388150285564269,0
0.13611711769152635,0.404981792820596,0.02131927894729324,1
0.45262356924970704,0.883787342713402,0.2226394696789672,0
0.3628596770589212,0.375483526287942,0.5809391325840321,1
0.44208685426614336,0.7062024010796445,0.9270459659758999,1
0.22168684512945647,0.7027188613501079,0.9480565692725775,0
0.724597161224763,0.00010036259192169883,0.4977601506642043,1
0.5322220954269133,0.7657048220712783,0.2862774884605297,0
0.6457376343202765,0.8845514681976155,0.25999163689494154,1
0.501605146161637,0.15401510943962338,0.06934671797292824,0
0.04902473867777435,0.20263614227394555,0.9752965167538634,1
0.6464438189087622,0.5601125777759985,0.6206252880612498,1
0.39382029298134347,0.9010882107126995,0.35991824739700096,0
0.8437997691851385,0.7097969594790106,0.39004474090634134,0
0.9525358193053065,0.8532204731655566,0.8569091246723215,0
0.25131844972962647,0.7063092375451462,0.774656065911767,1
0.7541223433105225,0.8447481996298333,0.24783975992754004,1
0.3875056744608686,0.8382040352966545,0.773849374469282,1
0.20687059998036272,0.24723581729496724,0.9363022810043468,1
0.04110941602342422,0.8922883314257612,0.2954839494917475,0
0.41725482974664097,0.5310432862043529,0.22876268429283753,1
0.8397264274858772,0.35782201855242557,0.05963019053034224,0
0.42814159226658854,0.5226892757293696,0.021214267117965258,1
0.372029759122503,0.486866918325107,0.7286588039767922,0
0.691174967268209,0.5187456950732802,0.4619298002550375,0
0.10334651684420226,0.11055654419861316,0.8284054200451056,0
0.7580085333655594,0.9567771341154516,0.9303588951694587,0
0.5376687389426604,0.6689826557261472,0.2686272759601629,1
0.9338077195521864,0.6766582693671634,0.2610646966843584,0
0.5063436092104883,0.733346027612305,0.6616560445901835,1
0.7056881943222889,0.20491558356238926,0.3024847834961433,0
0.4078772205444512,0.6540386592493728,0.5337018163855998,1
0.5313549754055517,0.9985201846953751,0.6672045131594329,1
0.45323549399253504,0.6130920599707443,0.10320536485954701,0
0.9648978074941916,0.4649502651805921,0.16094256511777305,1
0.8305387006950509,0.30319337892771714,0.7511180545075057,0
0.21465920662402282,0.77203712982744,0.2899248889262034,0
0.6218533526433696,0.4027310958708129,0.3340615492163378,1
0.25229154376711416,0.34902429002201385,0.7671060176004213,0
0.34944225250629957,0.1956628189325178,0.9096624668959103,0
0.8153417648660622,0.6936419317298613,0.3014951820325016,1
